"job_id","job_title","company_name","salary_year_avg","job_via","skills"
1241985,"Analytics Engineer (L5) - Live Quality of Experience","Netflix","445000.0","LinkedIn","sql"
1241985,"Analytics Engineer (L5) - Live Quality of Experience","Netflix","445000.0","LinkedIn","python"
1283788,"Analytics Engineer (L5) - Live Quality of Experience","Netflix","445000.0","LinkedIn","sql"
1283788,"Analytics Engineer (L5) - Live Quality of Experience","Netflix","445000.0","LinkedIn","python"
1598650,"Analytics Engineer - Playback Data (L5)","Netflix","445000.0","Indeed","sql"
1598650,"Analytics Engineer - Playback Data (L5)","Netflix","445000.0","Indeed","python"
1598650,"Analytics Engineer - Playback Data (L5)","Netflix","445000.0","Indeed","go"
1598650,"Analytics Engineer - Playback Data (L5)","Netflix","445000.0","Indeed","scala"
1598650,"Analytics Engineer - Playback Data (L5)","Netflix","445000.0","Indeed","typescript"
1009426,"Financial & Data Analyst - Pricing (12 months Contract)","Siemens","385000.0","via EchoJobs","excel"
1009426,"Financial & Data Analyst - Pricing (12 months Contract)","Siemens","385000.0","via EchoJobs","sap"
1213707,"Director of Engineering - Analytics","Confluent","296910.0","Get.It","kubernetes"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","sql"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","go"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","graphql"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","node"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","tableau"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","looker"
1269865,"Data Analyst","Edge & Node","264000.0","Jobgether","git"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","sql"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","go"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","graphql"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","node"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","tableau"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","looker"
1274698,"Data Analyst","Edge & Node","264000.0","Jobgether","git"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","sql"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","python"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","r"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","azure"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","databricks"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","aws"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","pyspark"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","pandas"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","jupyter"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","tableau"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","excel"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","power bi"
374858,"Associate Director- Data Insights","AT&T","255829.5","via ZipRecruiter","powerpoint"
