"skill","avg_salary"
"fastapi","212500.00"
"svn","185000.00"
"blazor","161000.00"
"apl","155000.00"
"mxnet","149000.00"
"graphql","137698.94"
"typescript","135519.92"
"asp.net core","130500.00"
"dynamodb","129970.00"
"solidity","128312.50"
"react.js","128000.00"
"terraform","127119.27"
"atlassian","124635.83"
"node","124293.18"
"hugging face","123950.00"
"watson","123411.17"
"golang","122203.13"
"dplyr","122158.20"
"twilio","120250.00"
"mattermost","120000.00"
"node.js","119615.19"
"neo4j","119579.42"
"perl","118653.08"
"no-sql","118552.91"
"elasticsearch","118377.76"
"mariadb","117800.00"
"unreal","117598.00"
"kafka","116061.84"
"zoom","116061.34"
"splunk","115500.94"
"fortran","114650.52"
"groovy","113978.40"
"notion","113778.57"
"yarn","113050.00"
"snowflake","112949.08"
"couchbase","112757.50"
"spark","111903.60"
"puppet","111768.00"
"php","111687.23"
"databricks","111581.46"
"confluence","111404.62"
"electron","111175.00"
"phoenix","111096.49"
"kubernetes","110557.64"
"airflow","110194.69"
"jira","110166.13"
"scala","109752.20"
"gdpr","109146.91"
"express","108911.66"
"angular","108622.55"
"cassandra","108456.86"
"git","108267.23"
"swift","108250.00"
"looker","108146.82"
"plotly","108133.37"
"db2","108126.68"
"linux","107871.63"
"mongodb","107813.15"
"redis","107377.41"
"hadoop","107021.17"
"bitbucket","107015.63"
"nosql","106892.97"
"pandas","106745.79"
"aurora","106242.94"
"shell","105960.04"
"numpy","105818.59"
"selenium","105518.36"
"gcp","105247.24"
"jenkins","104988.97"
"alteryx","104681.86"
"unix","104451.39"
"asp.net","104437.05"
"pytorch","104355.91"
"ibm cloud","103925.29"
"jupyter","103901.22"
"powershell","103748.30"
"github","103588.12"
"bash","103515.70"
"docker","103290.43"
"c++","102995.18"
"scikit-learn","102791.55"
"pyspark","102587.30"
"aws","102562.25"
"tensorflow","102311.38"
"redshift","102246.96"
"azure","102044.99"
"slack","101773.14"
"ansible","101616.88"
"chef","101025.38"
"sqlite","100928.57"
"mysql","100927.78"
"react","100575.43"
"java","100271.72"
"jquery","100241.20"
"flutter","100141.25"
"arch","100072.14"
"seaborn","100029.50"
"chainer","100000.00"
"centos","100000.00"
"next.js","100000.00"
"redhat","100000.00"
"ubuntu","100000.00"
"bigquery","99978.51"
"oracle","99392.24"
"python","99309.82"
"symphony","99248.79"
"microstrategy","98859.76"
"qt","98700.00"
"spring","98468.22"
"tableau","98411.58"
"django","98281.29"
"flask","98214.36"
"matplotlib","98010.58"
"go","97995.57"
"mongo","97976.97"
"r","97861.19"
"postgresql","97524.59"
"gitlab","97299.84"
"sql","97071.59"
"cordova","96839.83"
"c#","96478.15"
"sql server","96304.85"
"ssis","96186.62"
"datarobot","96047.10"
"qlik","96027.17"
"matlab","95853.58"
"flow","95774.61"
"t-sql","95629.27"
"asana","94729.35"
"dax","93966.45"
"visio","93834.22"
"vb.net","93716.11"
"rshiny","93671.43"
"javascript","93565.36"
"ssrs","93511.04"
"ggplot2","93373.80"
"sas","93192.74"
"c","92970.34"
"trello","92941.94"
"ringcentral","92333.33"
"pascal","92000.00"
"power bi","91949.75"
"webex","91875.00"
"vmware","91684.90"
"rust","91671.43"
"vba","91557.79"
"sap","91169.68"
"unify","90983.65"
"keras","90916.10"
"clickup","90000.00"
"digitalocean","89975.00"
"julia","89776.18"
"visual basic","89398.67"
"sharepoint","88991.88"
"cognos","88970.24"
"airtable","88939.21"
"drupal","88705.86"
"windows","88222.92"
"crystal","88073.86"
"monday.com","87203.92"
"excel","87006.20"
"workfront","86910.02"
"unity","86633.69"
"ruby","86606.23"
"css","86176.44"
"powerpoint","86056.19"
"sheets","85303.17"
"theano","85000.00"
"firebase","84852.94"
"assembly","84789.52"
"colocation","84327.00"
"ms access","84012.96"
"html","83824.06"
"spss","83565.32"
"word","81267.15"
"terminal","81072.83"
"tidyverse","79899.96"
"microsoft teams","79392.96"
"planner","79144.19"
"smartsheet","78636.79"
"spreadsheet","78020.19"
"cobol","78009.33"
"outlook","77833.95"
"npm","77735.00"
"macos","77088.05"
"ruby on rails","75529.50"
"nuix","75000.00"
"wrike","75000.00"
"wire","74743.75"
"erlang","72500.00"
"dart","67936.33"
"opencv","67818.00"
"sass","67698.50"
"vue","65000.00"
